id;titulo_notificacion;descripcion;contenido;estado;fecha;hora;id_fraternidad
1;Solomon Islands Dollar;Personal Loan Account HTTP;schemas Specialist China;42347;2019-05-09T22:18:24;2019-05-10T02:40:37;80683
2;Producer infrastructures;Robust Louisiana;Infrastructure SSL bandwidth;75087;2019-05-09T22:33:49;2019-05-09T22:12:45;23823
3;iterate;Berkshire navigating;superstructure;9998;2019-05-10T06:58:50;2019-05-10T15:02:15;1083
4;Internal Fantastic time-frame;CFP Franc Borders Borders;Common;29321;2019-05-10T01:51:46;2019-05-10T08:26:00;55370
5;ivory Data neural;Unbranded;Associate Designer;5587;2019-05-10T05:43:29;2019-05-09T22:37:57;88770
6;cross-media Frozen;Syrian Pound;Auto Loan Account Refined Practical;70096;2019-05-10T10:58:46;2019-05-10T14:34:30;39665
7;International Steel Avon;Planner;PCI SAS;23668;2019-05-09T17:35:15;2019-05-09T18:32:13;98600
8;navigate repurpose;Buckinghamshire;Oklahoma communities;90635;2019-05-10T08:23:43;2019-05-10T13:39:09;43445
9;Advanced grow;Handmade Wooden Cheese Fresh;input Naira;23750;2019-05-09T17:13:46;2019-05-10T06:42:58;37487
10;asymmetric EXE;web services;Industrial Designer Incredible Fresh Car;52770;2019-05-09T18:07:48;2019-05-09T16:29:25;91911
